source_zh	target_en	predicted_en	Error type - Single	Analysis
但事实却的确如此，理事会6月25-26日会议的决议当中就包含上述批准决定 — — 还有明确的提交日期。	But that is what happened, with the endorsement – complete with deliver-by date – buried in the conclusions of the Council’s June 25-26 meeting.	But it did, and the decision to approve – with a clear deadline for submission – was contained in the IMF’s June 25 and 26 resolutions from the Board’s meeting.	Semantic Error	"The model translation is ""But it did, and the decision to approve – with a clear deadline for submission – was contained in the IMF's June 25 and 26 resolutions from the Board's meeting."" The model incorrectly attributes this to the IMF when the source refers to the Council. The model also changed ""buried in the conclusions"" to ""contained in the resolutions,"" losing the connotation that this decision was hidden or obscured. The phrase ""the IMF's June 25 and 26 resolutions"" is awkward. The correct translation should be ""But that is what happened, with the endorsement – complete with deliver-by date – buried in the conclusions of the Council's June 25-26 meeting."""
这些问题都已被加入了修订版的条约中，它们分别是1972年的海豹保护公约，之后是1980年的野生动物保护公约。	These were added to a revised treaty in 1972 by a convention on seal protection, followed, in 1980, by a convention on wildlife preservation.	All of these issues were addressed in the revised treaty, which was adopted in 1992, first as the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), and then, in 2003, as CITES-2.	Named Entity Error	"The model translation is ""All of these issues were addressed in the revised treaty, which was adopted in 1992, first as the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), and then, in 2003, as CITES-2."" The model completely fabricated treaty names and dates that do not exist in the source text. The Chinese mentions seal protection convention in 1972 and wildlife preservation convention in 1980, but the model invented CITES and changed the dates to 1992 and 2003. The correct translation should be ""These were added to a revised treaty in 1972 by a convention on seal protection, followed, in 1980, by a convention on wildlife preservation."""
如果导致耐多种药物型结核病的同样因素继续发挥作用，那么耐多种药物型结核病将最终转化成为严重耐药型结核病。	If the same factors that produce MDR-TB remain in play, then MDR-TB becomes XDR-TB.	If the same factors that lead to drug-resistant TB continue to operate, MDR-TB will eventually evolve into XDR- TB.	Fluency Error	"The model translation is ""If the same factors that lead to drug-resistant TB continue to operate, MDR-TB will eventually evolve into XDR-TB."" The phrase ""continue to operate"" is less natural than ""remain in play,"" and ""evolve into"" suggests a gradual biological process rather than a transformation caused by the same factors. The model also changed ""produce MDR-TB"" to ""lead to drug-resistant TB,"" which is wordier and less direct. The correct translation should be ""If the same factors that produce MDR-TB remain in play, then MDR-TB becomes XDR-TB."""
波厄（Poher ） 、 沙邦·戴尔马（Chaban-Delmas ） 、 巴利（Barre ） 、 巴拉迪尔（Balladur）还有我本人都在选举开始前两年就被媒体或明或暗地定为夺标热门，但我们最终都逃脱不了失败的厄运。	Poher, Chaban-Delmas, Barre, Balladur, and I were picked out by the media and treated as candidates for more than two years before the election, whether declared or not, and we were all eventually beaten.	The same was true for Poher, Chaban- Delmas, Barre, Balladur, and myself, all of whom were anointed as favorites by the media, explicit or implicit, in the two years before the election, only to end up in the dustbin of history.	Named Entity Error	"The model translation is ""The same was true for Poher, Chaban-Delmas, Barre, Balladur, and myself, all of whom were anointed as favorites by the media, explicit or implicit, in the two years before the election, only to end up in the dustbin of history."" The model changed several names, incorrectly writing ""Chaban-Delmas"" instead of maintaining consistency with the source. More importantly, it added the dramatic phrase ""end up in the dustbin of history"" which does not exist in the original text about simply being beaten. The correct translation should be ""Poher, Chaban-Delmas, Barre, Balladur, and I were picked out by the media and treated as candidates for more than two years before the election, whether declared or not, and we were all eventually beaten."""
在美国电台的脱口秀和福克斯电视的鼓噪下，典型的民粹主义者展开了自身的宣传攻势，欧洲的代表人物就是怀尔德斯。	This is a common form of populist paranoia, promoted in the US by radio talk-show hosts and Fox television, and in Europe by men like Wilders.	Fueled by talk radio and Fox News in the United States, typical populists have gone on the offensive, with Nigel Farage being the European face of the movement.	Named Entity Error	"The model translation is ""Fueled by talk radio and Fox News in the United States, typical populists have gone on the offensive, with Nigel Farage being the European face of the movement."" The model replaced Wilders with Nigel Farage, which is a completely different person. The model also added ""have gone on the offensive"" which does not exist in the source, and changed the structure from describing common populist paranoia to describing populist actions. The correct translation should be ""This is a common form of populist paranoia, promoted in the US by radio talk-show hosts and Fox television, and in Europe by men like Wilders."""
同样，在一个欧盟也不受尊敬的地方，我们又该如何做呢？ 至少，我们要制定我们的自己的政策，以努力结束西岸，加沙和约旦东部之间的巴勒斯坦和巴勒斯坦人民的分裂为起点。	At the very least, we could set out our own policy, beginning with an effort to end the fragmentation of Palestine and Palestinians between the West Bank, Gaza, and East Jerusalem.	Likewise, what should we do in an EU that is not respected? At least, let’s develop our own policies to try to end the separation of Palestine and the Palestinian people between the West Bank, Gaza, and Jordan’s east.	Omission/Addition Error	"The model translation is ""Likewise, what should we do in an EU that is not respected? At least, let's develop our own policies to try to end the separation of Palestine and the Palestinian people between the West Bank, Gaza, and Jordan's east."" The model added ""Likewise"" and the question ""what should we do in an EU that is not respected?"" which creates confusion because this content is not in the source. The model also changed ""East Jerusalem"" to ""Jordan's east,"" which is geographically incorrect. The correct translation should be ""At the very least, we could set out our own policy, beginning with an effort to end the fragmentation of Palestine and Palestinians between the West Bank, Gaza, and East Jerusalem."""
我向其他印度政客说过，如果你拿枪指着我的头，我肯定会把我的钱包给你，但这不叫送给你 — — 也不意味着我不应该把它拿回来。	As I have pointed out to other Indian politicians, if you hold a gun to my head, I might give you my wallet, but that doesn’t make it a gift – and it doesn’t mean I shouldn’t get it back.	I have told other Indian politicians that if they point a gun at my head, I will give them my wallet, but I will not give it to them – and I will certainly not mean that I should not be able to take it back.	Fluency Error	"The model translation is ""I have told other Indian politicians that if they point a gun at my head, I will give them my wallet, but I will not give it to them – and I will certainly not mean that I should not be able to take it back."" The model creates a logical contradiction by saying ""I will give them my wallet, but I will not give it to them,"" which makes no sense. The structure is awkward and the final clause about meaning is confusing. The correct translation should be ""As I have pointed out to other Indian politicians, if you hold a gun to my head, I might give you my wallet, but that doesn't make it a gift – and it doesn't mean I shouldn't get it back."""
虽然全球根除脊髓灰质炎行动一直持续开展，但应对上述持续爆发的病例非常吃力，而且也未能彻底完成根除脊髓灰质炎的任务。	The effort to tackle these lingering cases is laborious, and it remains incomplete, despite PHEIC status.	While the global polio eradication effort has continued, dealing with these ongoing outbreaks has been difficult, and the task of eradicating polio has not been completed.	Incomplete Translation	"The model translation is ""While the global polio eradication effort has continued, dealing with these ongoing outbreaks has been difficult, and the task of eradicating polio has not been completed."" The model omitted the reference to PHEIC status that is mentioned in the target translation. More importantly, the model fails to convey that the effort is laborious and that work remains incomplete despite PHEIC status. The correct translation should be ""The effort to tackle these lingering cases is laborious, and it remains incomplete, despite PHEIC status."""
前一任噶玛巴于1981年圆寂，对于其继任者的争议自那以后就一直持续，同时也反映出各方对噶举派 — — 藏传佛教中最富有的教派 — — 15亿美元资产的争夺。	The previous Karmapa Lama died in 1981, and the controversy over his successor that has raged ever since also epitomizes a struggle for control of the $1.5 billion in assets held by the Kagyu order, the richest in Tibetan Buddhism.	Disputes over the succession to the previous Panchen Lama, who died in 1991, have continued ever since, reflecting rivalries over the Panchen Lamas’ estimated $1.5 billion in assets.	Named Entity Error	"The model translation is ""Disputes over the succession to the previous Panchen Lama, who died in 1991, have continued ever since, reflecting rivalries over the Panchen Lamas' estimated $1.5 billion in assets."" The model completely changed the subject from the Karmapa Lama to the Panchen Lama, which are different figures in Tibetan Buddhism. It also changed the death year from 1981 to 1991 and changed ""Kagyu order"" to ""Panchen Lamas,"" fundamentally altering the content. The correct translation should be ""The previous Karmapa Lama died in 1981, and the controversy over his successor that has raged ever since also epitomizes a struggle for control of the $1.5 billion in assets held by the Kagyu order, the richest in Tibetan Buddhism."""
这些投票有的只是象征性的（因为奥巴马拥有否决权 ） ； 但重要的事实仍然是，共和党一直在酝酿替代方案，等到共和党成为总统时就可以取ACA而代之。	Those votes may have been merely symbolic, given Obama’s veto power; nonetheless, the striking fact remains that the Republicans never bothered to try to formulate an alternative in the event that one of their own would one day become president.	These votes were only symbolic (because Obama had a veto); but the important fact remains that the Republicans have been cooking up alternatives to the ACA ever since, waiting for a Republican president to enact it.	Semantic Error	"The model translation is ""These votes were only symbolic (because Obama had a veto); but the important fact remains that the Republicans have been cooking up alternatives to the ACA ever since, waiting for a Republican president to enact it."" The model reverses the meaning. The source says Republicans never bothered to formulate an alternative, but the model says they have been cooking up alternatives ever since. This is the opposite of what the Chinese text conveys. The correct translation should be ""Those votes may have been merely symbolic, given Obama's veto power; nonetheless, the striking fact remains that the Republicans never bothered to try to formulate an alternative in the event that one of their own would one day become president."""
她的处境比较艰难，可以预料她将经常受到欧盟委员会主席若泽·曼努埃尔·巴罗佐的排挤，因为后者是这次职位分蛋糕的最大赢家。	She has a difficult hand to play, and can expect her elbow to be nudged regularly by EU Commission President José Manuel Barroso, who was the big winner in the carve-up of jobs.	Her position will be difficult, and she can expect to be frequently outmaneuvered by European Commission President José Manuel Barroso, the biggest winner in the job-sharing deal.	Lexical Error	"The model translation is ""Her position will be difficult, and she can expect to be frequently outmaneuvered by European Commission President José Manuel Barroso, the biggest winner in the job-sharing deal."" The model changed ""can expect her elbow to be nudged"" to ""can expect to be frequently outmaneuvered,"" which loses the more subtle connotation of the original metaphor. The model also changed ""carve-up of jobs"" to ""job-sharing deal,"" which has a different tone. The correct translation should be ""She has a difficult hand to play, and can expect her elbow to be nudged regularly by EU Commission President José Manuel Barroso, who was the big winner in the carve-up of jobs."""
加布里埃尔·租客满（Gabriel Zucman）的新书《隐匿的财富帝国：避税港之祸 》 （ The Hidden Wealth of Nations: The Scourge of Tax Havens）以前所未有的尺度曝光了避税港在全球经济中的角色。	And a new book by Gabriel Zucman, The Hidden Wealth of Nations: The Scourge of Tax Havens, reveals, as never before, the extent of their role in the global economy.	A new book by Gabriel ZucMAN, The H hidden Wealthof Nations:The Scourges of Tax Havens, exposes in unprecedented detail the role of tax havens in the global economy.	Named Entity Error	"The model translation is ""A new book by Gabriel ZucMAN, The H hidden Wealthof Nations:The Scourges of Tax Havens, exposes in unprecedented detail the role of tax havens in the global economy."" The model mangled the author's name to ""ZucMAN"" (with capital MAN) instead of ""Zucman,"" and the title has spacing errors like ""H hidden Wealthof"" and ""Scourges"" (plural instead of singular). The phrase ""exposes in unprecedented detail"" changes the emphasis from revealing the extent to exposing details. The correct translation should be ""And a new book by Gabriel Zucman, The Hidden Wealth of Nations: The Scourge of Tax Havens, reveals, as never before, the extent of their role in the global economy."""
更糟糕的是，除了给你带来短暂快感之外，果糖不能为任何一个新陈代谢过程所用；它是一种退化的营养物，是植物和动物进化分歧的遗留产物。	Worse yet, other than the ephemeral pleasure that it provides, there is not a single biochemical process that requires dietary fructose; it is a vestigial nutrient, left over from the evolutionary differentiation between plants and animals.	Worse, fructose does not serve any new metabolic process; it is a degenerate nutrient, a relic of the plant-animal evolutionary divide.	Semantic Error	"The model translation is ""Worse, fructose does not serve any new metabolic process; it is a degenerate nutrient, a relic of the plant-animal evolutionary divide."" The model omitted the key point about dietary fructose not being required by any biochemical process and about the ephemeral pleasure it provides. The phrase ""does not serve any new metabolic process"" is confusing because it suggests fructose might serve old metabolic processes. The correct translation should be ""Worse yet, other than the ephemeral pleasure that it provides, there is not a single biochemical process that requires dietary fructose; it is a vestigial nutrient, left over from the evolutionary differentiation between plants and animals."""
1980和1990年代的政府无能和经济下滑迫使尼日利亚的领导人更多关注周边的问题，如利比里亚和塞拉利昂的内战。	Inept government and economic decline in the 1980’s and 1990’s obliged Nigeria’s leaders to focus on problems closer to home, like the civil wars in Liberia and Sierra Leone.	Nigeria’s leaders were forced to pay more attention to their neighbors’ problems, such as the civil wars in Liberia and Sierra Leone, during the governmental incompetence and economic decline of the 1 nine-eighties and nineteen-nineties.	Fluency Error	"The model translation is ""Nigeria's leaders were forced to pay more attention to their neighbors' problems, such as the civil wars in Liberia and Sierra Leone, during the governmental incompetence and economic decline of the 1 nine-eighties and nineteen-nineties."" The phrase ""the 1 nine-eighties and nineteen-nineties"" is extremely awkward with the stray ""1"" and inconsistent formatting. The model also changed the causal relationship by making it seem like they paid attention ""during"" the incompetence, when the source says incompetence ""obliged"" them to focus on closer problems. The correct translation should be ""Inept government and economic decline in the 1980's and 1990's obliged Nigeria's leaders to focus on problems closer to home, like the civil wars in Liberia and Sierra Leone."""
现任美国在伊监狱助理主管的约翰•J•阿姆斯特朗从上一职位退休时与所在监狱发生的两桩非正常死亡诉讼有牵连。	John J. Armstrong, now the assistant director of operations for US prisons in Iraq, resigned from his previous post when he was named in two wrongful death lawsuits at one of those prisons.	The current Assistant Director of the Bureau of Prisons, John J. Ambrose, was implicated in two wrongful-death lawsuits while he was warden of the prison where the deaths occurred when he retired from his last post.	Named Entity Error	"The model translation is ""The current Assistant Director of the Bureau of Prisons, John J. Ambrose, was implicated in two wrongful-death lawsuits while he was warden of the prison where the deaths occurred when he retired from his last post."" The model changed the name from Armstrong to Ambrose, which is completely wrong. It also changed ""assistant director of operations for US prisons in Iraq"" to ""Assistant Director of the Bureau of Prisons,"" losing the Iraq context. The model also confused the timeline by saying he was warden ""where the deaths occurred when he retired,"" making it unclear. The correct translation should be ""John J. Armstrong, now the assistant director of operations for US prisons in Iraq, resigned from his previous post when he was named in two wrongful death lawsuits at one of those prisons."""
人们尽可以提到《2010年多德—弗兰克法案》来辩解，但以20世纪30年代的标准来看，那个法案简直是清汤寡水。	Say what you will about the Dodd-Frank Act of 2010, but it is weak soup by the standards of the 1930’s.	People can point to the Dodd-Frank Act of 2001 as much as they like, but by the standards of the 1930’s, that act is a mere drop in the bucket.	Semantic Error	"The model translation is ""People can point to the Dodd-Frank Act of 2001 as much as they like, but by the standards of the 1930's, that act is a mere drop in the bucket."" The model changed the year from 2010 to 2001, which is factually incorrect. The phrase ""a mere drop in the bucket"" changes the metaphor from ""weak soup"" (suggesting diluted or watered-down legislation) to something that is just insufficient in quantity. The correct translation should be ""Say what you will about the Dodd-Frank Act of 2010, but it is weak soup by the standards of the 1930's."""
此外政府在金融上很难灵活应变；经常被受监管者牵着鼻子走；当光景好的时候，又没有官员愿意去惹怒那些金融机构，给自己找麻烦。	It is not financially nimble; it is often captured by the regulated; and when economic times are good, no official wants to spoil the party.	Furthermore, governments are financially inflexible; they are often led by regulators; and, when things are going well, no official wants to upset the financial institutions and cause trouble for himself or herself.	Fluency Error	"The model translation is ""Furthermore, governments are financially inflexible; they are often led by regulators; and, when things are going well, no official wants to upset the financial institutions and cause trouble for himself or herself."" The phrase ""they are often led by regulators"" is confusing and changes the meaning from ""captured by the regulated"" (meaning regulators are captured by those they regulate). The model also added ""cause trouble for himself or herself"" which makes it about personal convenience rather than spoiling the party. The correct translation should be ""It is not financially nimble; it is often captured by the regulated; and when economic times are good, no official wants to spoil the party."""
2008年，共和党聚集在已故参议员约翰·麦凯恩的竞选伙伴莎拉·佩林的身后，佩林是个来自民间的煽动分子，比布什或切尼更不适合担任公共职务；而2010年，该党实际上被民粹主义的茶党所劫持。	In 2008, Republicans rallied behind the late Senator John McCain’s running mate, Sarah Palin, a folksy demagogue who was even less suited for office than Bush or Cheney; and in 2010, the party was essentially hijacked by the populist Tea Party.	The Republican Party was hijacked by populist Tea Party activists in 2100, and it was taken over by Sarah Palin, the populist running mate of the late Senator John McCain, in 1908.	Named Entity Error	"The model translation is ""The Republican Party was hijacked by populist Tea Party activists in 2100, and it was taken over by Sarah Palin, the populist running mate of the late Senator John McCain, in 1908."" The model provides completely impossible dates: 2100 (future) and 1908 (long before these events), showing severe confusion. It also reverses the chronological order, putting 2100 before 1908. The structure also makes it seem like two separate hijackings when the source describes a progression from 2008 to 2010. The correct translation should be ""In 2008, Republicans rallied behind the late Senator John McCain's running mate, Sarah Palin, a folksy demagogue who was even less suited for office than Bush or Cheney; and in 2010, the party was essentially hijacked by the populist Tea Party."""
换言之，审议式民主可能是我们对付刚愎自用、不计后果的行动的最重要的防范措施。 它在联合国、而不是美国发挥了作用。	In other words, deliberative democracy ­­– perhaps our most important safeguard against headstrong and reckless action – worked at the UN, but not in the US.	In other words, deliberative democracy may be the most important safeguard we have against reckless, unilateral action, and it is the United Nations, not the United States, that is supposed to play the role of referee.	Semantic Error	"The model translation is ""In other words, deliberative democracy may be the most important safeguard we have against reckless, unilateral action, and it is the United Nations, not the United States, that is supposed to play the role of referee."" The model changes the meaning by saying the UN is ""supposed to play the role of referee,"" which adds judgment about what should happen. The source simply states that deliberative democracy worked at the UN but not in the US, without prescribing roles. The correct translation should be ""In other words, deliberative democracy ­­– perhaps our most important safeguard against headstrong and reckless action – worked at the UN, but not in the US."""
我也可以想象可以让穷国变富的选择，那就是，邓小平在1956年而非1976年成为中国领导人就可能让中国变得富有。	I can also envision alternatives that would have enriched poor nations: Deng Xiaoping becoming China’s leader in 1956 rather than 1976 would have done the job there.	I can also imagine an alternative history in which China had become rich had Deng Xiaoping become China’s ruler in 1966, not 10 years later.	Semantic Error	"The model translation is ""I can also imagine an alternative history in which China had become rich had Deng Xiaoping become China's ruler in 1966, not 10 years later."" The model changed 1956 to 1966, which alters the counterfactual by a decade. It also added ""alternative history"" which is implied but not stated, and changed the structure to suggest Deng became ruler in 1966 rather than the counterfactual being about 1956. The correct translation should be ""I can also envision alternatives that would have enriched poor nations: Deng Xiaoping becoming China's leader in 1956 rather than 1976 would have done the job there."""
