source_de	target_en	predicted_en	error_type	analysis	data_type
Daß er darin die Ursache für die organisierte Kriminalität und für gesellschaftliche Probleme sieht, ist wirklich empörend.	The fact that he quotes this as a cause of organised crime and social problems is truly appalling.			"The translation is ""The fact that he quotes this as a cause of organised crime and social problems is truly appalling.""
By double checking, I see the translation is correct
The correct translation is ""The fact that he quotes this as a cause of organised crime and social problems is truly appalling.""|||END|||"	clean_translation
Eine Regierung, welche die Staatsverschuldung verschweigt, Wahlen und eine neue Regierung, die am gleichen Strang zieht.	A Government which hides the public deficit, elections and a new Government that pulls up the rug.	A government which hides the national debt, elections and a new government which is on the same wavelength.	Fluency Error	"The model translation is ""A government which hides the national debt, elections and a new government which is on the same wavelength.""
The German ""Staatsverschuldung"" was translated as ""national debt"" when it should be ""public deficit"" in this political context. The idiomatic phrase ""am gleichen Strang zieht"" was translated as ""on the same wavelength"" but should be ""pulls up the rug"", which conveys a different meaning about revealing or exposing something rather than agreement. The model missed the political metaphor about uncovering hidden information.
The correct translation should be ""A Government which hides the public deficit, elections and a new Government that pulls up the rug.""|||END|||"	error_correction
Von ebenso großer Bedeutung ist die Einbindung der Umweltpolitik in die gesamte Politik der Europäischen Union. Im Rahmen der Agrarpolitik ist der Schutz der Gewässer hervorzuheben, auf den bereits verwiesen wurde.	Especially important, where agricultural policy is concerned, is the protection of rivers, seas and lakes, as has been mentioned here.			"The translation is ""Especially important, where agricultural policy is concerned, is the protection of rivers, seas and lakes, as has been mentioned here.""
By double checking, I see the translation is correct
The correct translation is ""Especially important, where agricultural policy is concerned, is the protection of rivers, seas and lakes, as has been mentioned here.""|||END|||"	clean_translation
Gegenwärtig werden Berichte für die Sitzung des Lenkungsausschusses im März erarbeitet, die gleichzeitig eine wichtige Gelegenheit sein wird, Fazit über den Stand der Dinge zu ziehen.	Reports are being drawn up for the steering committee meeting in March, which will be an important occasion for taking stock of the issue.			"The translation is ""Reports are being drawn up for the steering committee meeting in March, which will be an important occasion for taking stock of the issue.""
By double checking, I see the translation is correct
The correct translation is ""Reports are being drawn up for the steering committee meeting in March, which will be an important occasion for taking stock of the issue.""|||END|||"	clean_translation
Vargas Llosa, der Premium des Festivals Hay Festival gewonnen hat und dem die meisten Anwesenden ihre Stimme gabe, wird mit der alten Ausgabe von `Our mutual friend' verglichen und ist im Theater Juan Bravo zu sehen.	"Vargas Llosa, who won the Hay Festival prize being the most voted writer by participants - an ancient edition of ""Our mutual friend"" by Dickens, packed the theatre Juan Bravo with fans."	Vargas Llosa, who won the Hay Festival's Hay Prize and who was the most popular author with the audience, is compared with the old version of `Our mutual friend' and is to be seen at the Teatro Juan Bravo.	Named Entity Error	"The model translation is ""Vargas Llosa, who won the Hay Festival's Hay Prize and who was the most popular author with the audience, is compared with the old version of 'Our mutual friend' and is to be seen at the Teatro Juan Bravo.""
The German text describes a complex situation where ""Premium des Festivals Hay Festival"" should be ""Hay Festival prize"" and the comparison with ""Our mutual friend"" by Dickens is about an ancient edition being part of the prize, not comparing Vargas Llosa to the book. The phrase ""packed the theatre Juan Bravo with fans"" was completely lost and replaced with a simple ""is to be seen at"" which misses the impact and audience enthusiasm. The model misunderstood the relationship between the author, the prize (which included a Dickens book), and the packed theater.
The correct translation should be ""Vargas Llosa, who won the Hay Festival prize being the most voted writer by participants - an ancient edition of 'Our mutual friend' by Dickens, packed the theatre Juan Bravo with fans.""|||END|||"	error_correction
Gegen Michal Hasek aus dem Bezirk Südmähren, Radko Martinek aus dem Bezirk Pardubice und den Leiter des Bezirks Olomouc, Martin Tesarik.	These are Michal Hašek, commissioner for South Moravia, Radko Martínek, commissioner for Pardubice, and Olomouc commissioner Martin Tesařík.	Against Michal Hasek from the South Moravian Region, Radko Martinek from the Pardubice Region and the head of the Olomouc Region, Martin Tesarik.	Grammatical Error	"The model translation is ""Against Michal Hasek from the South Moravian Region, Radko Martinek from the Pardubice Region and the head of the Olomouc Region, Martin Tesarik.""
The word ""Gegen"" was translated as ""Against"" when this context requires understanding that these are names being listed, not opposed. The phrase ""aus dem Bezirk"" should be ""commissioner for"" not ""from the Region"" - this misunderstands their official roles. The model treats this as a geographical reference rather than recognizing these are political appointments or positions.
The correct translation should be ""These are Michal Hašek, commissioner for South Moravia, Radko Martínek, commissioner for Pardubice, and Olomouc commissioner Martin Tesařík.""|||END|||"	error_correction
In die müsse investiert werden, sagen Trump und Clinton fast wortgleich.	There has to be investment in infrastructure, Trump and Clinton say almost verbatim.	Trump and Clinton are almost saying the same thing.	Omission/Addition Error	"The model translation is ""Trump and Clinton are almost saying the same thing.""
The crucial word ""müsse investiert werden"" (there has to be investment) was completely omitted. The German ""In die"" refers to infrastructure from the previous context, which should be ""There has to be investment in infrastructure."" The model lost the main content about investment and only captured that they're saying similar things. The phrase ""fast wortgleich"" should be ""almost verbatim"" not just ""almost saying the same thing.""
The correct translation should be ""There has to be investment in infrastructure, Trump and Clinton say almost verbatim.""|||END|||"	error_correction
"""Wenn sie den ins Ziel bringen, kann so ein Spiel schon mal kippen"", weiß Büring aus jahrelanger Erfahrung."	If you bring it to the finish, such a game can also tip over quite easily, Büring knows from years of experience.	'If they can pull it off, it could be a game-changer', says Mr Büring, with years of experience.	Named Entity Error	"The model translation is ""'If they can pull it off, it could be a game-changer', says Mr Büring, with years of experience.""
The German phrase ""ins Ziel bringen"" means ""bring it to the finish"" literally (completing something) not ""pull it off"" which is too colloquial. The phrase ""kann so ein Spiel schon mal kippen"" means ""such a game can tip over quite easily"" referring to how games can change direction, not ""could be a game-changer"" which is a different metaphor. The word ""weiß"" means ""knows"" not ""says"" - it's about knowledge from experience, not a quote. The model added ""Mr"" to ""Büring"" unnecessarily.
The correct translation should be ""If you bring it to the finish, such a game can also tip over quite easily, Büring knows from years of experience.""|||END|||"	error_correction
Die föderalistische Mehrheit des Europäischen Parlaments verstößt damit gegen grundlegende Verfassungsprinzipien.	The European Parliament's federalist majority is thus breaching fundamental constitutional principles.			"The translation is ""The European Parliament's federalist majority is thus breaching fundamental constitutional principles.""
By double checking, I see the translation is correct
The correct translation is ""The European Parliament's federalist majority is thus breaching fundamental constitutional principles.""|||END|||"	clean_translation
Hinsichtlich des geschäftlichen Kompetenzbereiches oder dem Zielort der damit verbundenen Fonds hätte er niemals Kenntnis gehabt, so Simon.	Concerning the award of contracts or the destination of the related funds, he had no knowledge of them, said Me Simon.	Simon said that he would never have known about the business competence or the target of the funds.	Grammatical Error	"The model translation is ""Simon said that he would never have known about the business competence or the target of the funds.""
The German ""Kompetenzbereiches"" in this context means ""award of contracts"" not ""business competence"" - it's about contractual authority. The phrase ""hätte er keinerlei Kenntnis gehabt"" should be ""he had no knowledge"" (past tense) not ""would never have known"" (conditional). The word ""Simon"" appears to be added incorrectly as it's not in the German source. The model also omitted ""damit verbundenen"" (related/associated).
The correct translation should be ""Concerning the award of contracts or the destination of the related funds, he had no knowledge of their details.""|||END|||"	error_correction
Aber nachdem ich die letzte Rednerin bin, möchte ich doch noch einmal ein paar wesentliche Elemente herausgreifen.	As I am the last speaker, however, I should like to highlight a few key points from this debate.			"The translation is ""As I am the last speaker, however, I should like to highlight a few key points from this debate.""
By double checking, I see the translation is correct
The correct translation is ""As I am the last speaker, however, I should like to highlight a few key points from this debate.""|||END|||"	clean_translation
Wir hoffen auf einen raschen Abschluß der Ratifizierungsverfahren in den Parlamenten Jordaniens und unserer Mitgliedstaaten, damit die positiven Auswirkungen des Abkommens so schnell wie möglich zum Tragen kommen.	We hope that the process of ratification by the Jordanian parliament and those of our Member States will soon be completed so that the Agreement can begin to produce its beneficial effects as quickly as possible.			"The translation is ""We hope that the process of ratification by the Jordanian parliament and those of our Member States will soon be completed so that the Agreement can begin to produce its beneficial effects as quickly as possible.""
By double checking, I see the translation is correct
The correct translation is ""We hope that the process of ratification by the Jordanian parliament and those of our Member States will soon be completed so that the Agreement can begin to produce its beneficial effects as quickly as possible.""|||END|||"	clean_translation
Wir sollten klar benennen, was eine künftige Strategie beinhalten muss.	Let us be clear about what a future strategy must contain.			"The translation is ""Let us be clear about what a future strategy must contain.""
By double checking, I see the translation is correct
The correct translation is ""Let us be clear about what a future strategy must contain.""|||END|||"	clean_translation
Ich begrüße die gute Arbeit der Berichterstatter und habe dem Bericht deshalb auch zugestimmt.	(DE) I welcome the good work done by the rapporteurs and I therefore also voted in favour of the report.			"The translation is ""(DE) I welcome the good work done by the rapporteurs and I therefore also voted in favour of the report.""
By double checking, I see the translation is correct
The correct translation is ""(DE) I welcome the good work done by the rapporteurs and I therefore also voted in favour of the report.""|||END|||"	clean_translation
"Dort war 1858/59 die Münchner Kreis-Irrenanstalt ""Auf der Auer Lüften"" entstanden."	"The Munich district mental asylum ""Auf der Auer Lüften"" had come to life there in 1858/59."	There, in 1858/59, the Munich Circle Asylum, 'Auf der Auer Lüften', was created.	Fluency Error	"The model translation is ""There, in 1858/59, the Munich Circle Asylum, 'Auf der Auer Lüften', was created.""
The German ""Münchner Kreis-Irrenanstalt"" should be ""Munich district mental asylum"" not ""Munich Circle Asylum"" - ""Kreis"" in this context means district, not circle. The phrase ""war entstanden"" should be ""had come to life"" not ""was created"" - the reference translation uses more vivid language suggesting organic development rather than simple creation. The reference suggests a more naturalistic emergence of the institution.
The correct translation should be ""The Munich district mental asylum ""Auf der Auer Lüften"" had come to life there in 1858/59.""|||END|||"	error_correction
"""Fördern kann man dort auf einer Fläche von insgesamt 75.000 Quadratkilometern."	"""It is possible to mine there on an overall area of 75,000 square kilometers."	It can be promoted over an area of 75 000 square kilometres.	Lexical Error	"The model translation is ""It can be promoted over an area of 75 000 square kilometres.""
The German ""Fördern"" in this mining/extraction context should be ""mine"" not ""promoted"" - this is about mineral extraction, not advancement or promotion. The phrase ""kann man dort"" should be ""It is possible to"" not just ""It can be"" to match the target's more formal construction. The model completely missed the mining/extraction context and used a general verb instead of the specific technical term.
The correct translation should be ""It is possible to mine there on an overall area of 75,000 square kilometers.""|||END|||"	error_correction
"Ihre Aufwartung machten anschließend die Dreikönig- singer, die Hansjakob zu dem Ausruf veranlassten: ""Ach wie schön, da werden wieder Jugenderinnerungen an meine eigene Dreikönigzeit lebendig""."	"The ""Dreikönig"" singers then made their own appearance, leading Hansjakob to exclaim: ""Oh how beautiful, this brings childhood memories of my own time in a Dreikönig group back to life""."	Their visit was followed by the Three Kings, who led Hansjakob to exclaim: 'Ah, how nice, that brings back memories of my own Three Kings time'.	Named Entity Error	"The model translation is ""Their visit was followed by the Three Kings, who led Hansjakob to exclaim: 'Ah, how nice, that brings back memories of my own Three Kings time'.""
The German ""Dreikönig-singer"" should be ""Dreikönig singers"" not ""Three Kings"" - this preserves the specific German cultural term. The phrase ""Jugenderinnerungen"" should be ""childhood memories"" not just ""memories"" - the youth aspect is missing. The quote ""Ach wie schön"" should be ""Oh how beautiful"" not ""Ah, how nice"" - the target uses more emphatic language. The phrase ""wieder...lebendig"" should be ""back to life"" not just ""back"" - the revival aspect is missing.
The correct translation should be ""The 'Dreikönig' singers then made their own appearance, leading Hansjakob to exclaim: 'Oh how beautiful, this brings childhood memories of my own time in a Dreikönig group back to life'.""|||END|||"	error_correction
Glücklicherweise gehört dies der Vergangenheit an und wir sehen nun neue Möglichkeiten für Europa.	Fortunately, this is in the past and we are now seeing new possibilities for Europe.			"The translation is ""Fortunately, this is in the past and we are now seeing new possibilities for Europe.""
By double checking, I see the translation is correct
The correct translation is ""Fortunately, this is in the past and we are now seeing new possibilities for Europe.""|||END|||"	clean_translation
"Und ""wenn Großbritannien Morgen diesen Freibrief gewährt, ist dies meiner Meinung nach erledigt."""	"And he felt that ""if Britain says no to the safe-conduct pass, it's over."""	And 'if Britain grants a free pass tomorrow, I think it is done.'	Omission/Addition Error	"The model translation is ""And 'if Britain grants a free pass tomorrow, I think it is done.'""
The model misunderstood the semantic context - the German describes a negative scenario where Britain denying the safe-conduct would end things, but the translation suggests Britain granting something positive. ""Freibrief"" was translated as ""free pass"" when ""safe-conduct pass"" is more precise in this context. The temporal element ""Morgen"" (tomorrow) was kept but the conditional logic was reversed. The phrase ""he felt that"" from the target was omitted in the model's interpretation.
The correct translation should be ""And he felt that 'if Britain says no to the safe-conduct pass, it's over.'""|||END|||"	error_correction
Außerdem wollen wir das dänische Zustimmungsmodell schützen, bei dem Löhne und Arbeitsbedingungen vertraglich vereinbart und dann respektiert werden, wie auch unser Sozialmodell, bei dem wir hohe Steuern zahlen, um soziale Bürgerrechte für alle zu gewährleisten.	We also want to safeguard the Danish ‘agreement model’, whereby wages and working conditions are agreed in accords and then respected, and our social model, whereby we pay high taxes in order to provide social civil rights to all.			"The translation is ""We also want to safeguard the Danish ‘agreement model’, whereby wages and working conditions are agreed in accords and then respected, and our social model, whereby we pay high taxes in order to provide social civil rights to all.""
By double checking, I see the translation is correct
The correct translation is ""We also want to safeguard the Danish ‘agreement model’, whereby wages and working conditions are agreed in accords and then respected, and our social model, whereby we pay high taxes in order to provide social civil rights to all.""|||END|||"	clean_translation
Dieser Babystern konnte in seiner vollen Schönheit erst durch die Infrarotdetektoren des Spitzer-Teleskops aufgenommen werden.	This baby star could only be captured in its full beauty using the Spitzer telescope's infrared detectors.	These infrared images of the nebula were taken by the Spitzer Space Telescope.	Omission/Addition Error	"The model translation is ""These infrared images of the nebula were taken by the Spitzer Space Telescope.""
The German ""Dieser Babystern"" should be ""This baby star"" not ""These infrared images of the nebula"" - this is a major semantic error where the model completely changed the subject from a star to nebula images. The phrase ""konnte in seiner vollen Schönheit erst durch die Infrarotdetektoren des Spitzer-Teleskops aufgenommen werden"" should be ""could only be captured in its full beauty using the Spitzer telescope's infrared detectors"" not ""were taken by the Spitzer Space Telescope"" - this is a semantic error where the model simplified the meaning and changed the emphasis. The model omitted the concept of ""full beauty"" and the specific emphasis on ""only through infrared detectors"".
The correct translation should be ""This baby star could only be captured in its full beauty using the Spitzer telescope's infrared detectors.""|||END|||"	error_correction
Für mich war das genau das Richtige, was mich gereizt hat.	For me that was exactly the right thing, the thing that got me fired up.	That was exactly what I wanted to see.	Semantic Error	"The model translation is ""That was exactly what I wanted to see.""
The German ""was mich gereizt hat"" should be translated as ""the thing that got me fired up"" not ""what I wanted to see."" The verb ""reizen"" in this context means to excite or fire up, not to want to see. The phrase ""das genau das Richtige"" (exactly the right thing) was simplified and the emphasis on it being motivating was lost.
The correct translation should be ""For me that was exactly the right thing, the thing that got me fired up.""|||END|||"	error_correction
Auch in unseren Ländern, in den Ländern der Europäischen Union, werden Anschuldigungen dieser Art erhoben.	We even make such accusations in our own countries in the European Union.			"The translation is ""We even make such accusations in our own countries in the European Union.""
By double checking, I see the translation is correct
The correct translation is ""We even make such accusations in our own countries in the European Union.""|||END|||"	clean_translation
Die Ukrainer möchten aber zweifellos als gleichberechtigter Partner angesehen werden, von der EU genauso wie von Russland.	The Ukrainians, however, would no doubt like to be regarded as equal partners, by the EU as well as by Russia.			"The translation is ""The Ukrainians, however, would no doubt like to be regarded as equal partners, by the EU as well as by Russia.""
By double checking, I see the translation is correct
The correct translation is ""The Ukrainians, however, would no doubt like to be regarded as equal partners, by the EU as well as by Russia.""|||END|||"	clean_translation
Deswegen wird in Zukunft die Rolle des Waldes vor allen Dingen sehr, sehr viel mit der Umwelterhaltung zu tun haben, was mich auf den dritten Punkt bringt, nämlich das Internet.	So in future forests will above all be very greatly involved in environmental protection, which brings me to my third point, that is to say the Internet.			"The translation is ""So in future forests will above all be very greatly involved in environmental protection, which brings me to my third point, that is to say the Internet.""
By double checking, I see the translation is correct
The correct translation is ""So in future forests will above all be very greatly involved in environmental protection, which brings me to my third point, that is to say the Internet.""|||END|||"	clean_translation
Herr Präsident! Am 11. Februar dieses Jahres hat der Vizepräsident des kambodschanischen Parlaments, Herr Son Soubert, bei einem privaten Gespräch geäußert, daß er die Machtübernahme des gegenwärtigen Premierministers im letzten Jahr als einen Putsch ansehe.	Mr President, on 11 February this year the vice-president of the Cambodian parliament, Mr Son Soubert, let slip in a private conversation that he thought the way the present prime minister seized power last year amounted to a coup d'état.			"The translation is ""Mr President, on 11 February this year the vice-president of the Cambodian parliament, Mr Son Soubert, let slip in a private conversation that he thought the way the present prime minister seized power last year amounted to a coup d'état.""
By double checking, I see the translation is correct
The correct translation is ""Mr President, on 11 February this year the vice-president of the Cambodian parliament, Mr Son Soubert, let slip in a private conversation that he thought the way the present prime minister seized power last year amounted to a coup d'état.""|||END|||"	clean_translation
Nach dem Einsatz von Streufahrzeugen bleibt Schneematsch auf dem Pass Červenohorské sedlo sowie auf der Straße in Richtung Videlský kříž.	It is a result of the chemical treatment carried out at Cervenohorkse sedlo and on the way to Videlsky Kriz.	After snowploughing, there is still snow on the road to Videlský kříž and on the road to Červenohorské sedlo.	Omission/Addition Error	"The model translation is ""After snowploughing, there is still snow on the road to Videlský kříž and on the road to Červenohorské sedlo.""
The German ""Nach dem Einsatz von Streufahrzeugen"" should be ""as a result of chemical treatment"" not ""after snowploughing"" - Streufahrzeuge are salt/grit spreaders, not snowploughs. The word ""Schneematsch"" should be understood as the result of chemical treatment, not remaining snow. The phrase ""bleibt Schneematsch"" describes the slush that results from chemical treatment, not leftover snow. The model completely misunderstood the cause-and-effect relationship and the type of vehicles involved. The German describes the aftermath of chemical de-icing treatment.
The correct translation should be ""It is a result of the chemical treatment carried out at Cervenohorkse sedlo and on the way to Videlsky Kriz.""|||END|||"	error_correction
Die Neuwahlen sind vorbei, und jetzt dreht sich alles um die Koalition; in den Debatten im öffentlich-rechtlichen Fernsehen ließen die Parteichefs kaum in ihre Karten blicken.	The election has already taken place, now everything is about the coalition; during the debate organized by the public television, there was hardly any chance to gain insight into the party leaders' cards.	The elections are over, and everything is now about the coalition; the party leaders have hardly been able to get a look in during the debates on public television.	Semantic Error	"The model translation is ""The elections are over, and everything is now about the coalition; the party leaders have hardly been able to get a look in during the debates on public television.""
The German phrase ""ließen die Parteichefs kaum in ihre Karten blicken"" was completely misunderstood - it should be ""there was hardly any chance to gain insight into the party leaders' cards"" (meaning revealing their strategies), but the model translated it as ""the party leaders have hardly been able to get a look in"" which suggests they couldn't participate rather than they didn't reveal their intentions. The phrase ""in den Debatten im öffentlich-rechtlichen Fernsehen"" should specify ""during the debate organized by the public television"" rather than just ""debates on public television"" to show it was a specific organized event.
The correct translation should be ""The election has already taken place, now everything is about the coalition; during the debate organized by the public television, there was hardly any chance to gain insight into the party leaders' cards.""|||END|||"	error_correction
Dies wird durch den Bericht bekräftigt, den die spanische Regierung, die eine andere politische Überzeugung vertritt als ich, an die Europäische Kommission übermittelte.	This is endorsed by the report sent to the European Commission by the Spanish Government, which is of a different political persuasion than the one that I represent.			"The translation is ""This is endorsed by the report sent to the European Commission by the Spanish Government, which is of a different political persuasion than the one that I represent.""
By double checking, I see the translation is correct
The correct translation is ""This is endorsed by the report sent to the European Commission by the Spanish Government, which is of a different political persuasion than the one that I represent.""|||END|||"	clean_translation
"""Monti sprach von einem wichtigen Programm mit einer Reihe von Opfern"", so Francesco Nucara, Abgeordneter einer der zahlreichen kleineren, an den Gesprächen teilnehmenden parlamentarischen Gruppen, nachdem er mit dem amtierenden Ratspräsidenten zusammengetroffen war."	"""Monti spoke about an important programme involving a lot of sacrifices,"" said Francesco Nucara, a deputy of one of the numerous small parliamentary groups taking part in the discussions after meeting the prime minister-designate."	Mr Monti spoke of an important programme with a number of victims, according to Francesco Nucara, a Member of one of the many smaller parliamentary groups involved in the talks, after meeting the President-in-Office.	Named Entity Error	"The model translation is ""Mr Monti spoke of an important programme with a number of victims, according to Francesco Nucara, a Member of one of the many smaller parliamentary groups involved in the talks, after meeting the President-in-Office.""
The German word ""Opfern"" was mistranslated as ""victims"" when it should be ""sacrifices"" - these are economic/political sacrifices, not human victims. The phrase ""amtierenden Ratspräsidenten"" should be ""prime minister-designate"" not ""President-in-Office"" - this is about Italian politics.
The correct translation should be ""Monti spoke about an important programme involving a lot of sacrifices,' said Francesco Nucara, a deputy of one of the numerous small parliamentary groups taking part in the discussions after meeting the prime minister-designate.""|||END|||"	error_correction
Dies ist auf alle Fälle ein ernstzunehmendes Problem, um so mehr wenn man das letzte Woche gefällte Urteil des Gerichtshofs bedenkt.	This is serious in any event but more so in the light of the Court of Justice ruling last week.			"The translation is ""This is serious in any event but more so in the light of the Court of Justice ruling last week.""
By double checking, I see the translation is correct
The correct translation is ""This is serious in any event but more so in the light of the Court of Justice ruling last week.""|||END|||"	clean_translation
"""Gruppen wie die 'Identitäre Bewegung' versuchen, ihre Zielgruppe da abzuholen, wo sie steht"", sagte der Verfassungsschutzchef."	"""Groups such as the ""Identitäre Bewegung"" are trying to approach their target group on their level,"" said the head of constitutional protection."	The Constitutional Protection Service's chief said that groups such as the 'Identitarian Movement' were trying to attract their target audience where they were.	Grammatical Error	"The model translation is ""The Constitutional Protection Service's chief said that groups such as the 'Identitarian Movement' were trying to attract their target audience where they were.""
The grammatical structure should maintain the direct quote format: ""Groups such as...said the head of constitutional protection"" not ""The Constitutional Protection Service's chief said that groups..."" - the model converted direct speech to reported speech. The German ""da abzuholen, wo sie steht"" should be ""approach their target group on their level"" not ""attract their target audience where they were"" - this is about meeting people at their current mindset/level, not physical location. The verb tense should be present ""are trying"" not past ""were trying."" The phrase ""Verfassungsschutzchef"" should be ""head of constitutional protection"" not ""Constitutional Protection Service's chief.""
The correct translation should be """"Groups such as the ""Identitäre Bewegung"" are trying to approach their target group on their level,"" said the head of constitutional protection.""|||END|||"	error_correction
"""Es macht meiner Meinung aber auch nicht viel Sinn, meine Aktien im Pilsner Klub scheinheilig auf eine Drittperson zu übertragen, um nach anderthalb Jahren wieder zurückzukehren"", stellte Paclík klar."	"""Yet, I don't see a point in transferring my shares in the Pilsen club hypocritically to someone else, while coming back there in six months, "" Paclík says."	It does not make much sense to me, however, to transfer my shares in the Pilsner Club to a third party for the sake of appearances, only to return them after a year and a half, Mr Paclík said.	Fluency Error	"The model translation is ""It does not make much sense to me, however, to transfer my shares in the Pilsner Club to a third party for the sake of appearances, only to return them after a year and a half, Mr Paclík said.""
The model added significant content that's not in the German source: ""for the sake of appearances, only to return them after a year and a half, Mr Paclík said."" The German ""scheinheilig"" should be translated as ""hypocritically"" but the model expanded this into a longer explanation. The word ""Pilsner"" should be ""Pilsen"" for the club name. The flow could be improved with ""Yet, I don't see a point in"" rather than ""It does not make much sense to me, however, to"".
The correct translation should be ""Yet, I don't see a point in transferring my shares in the Pilsen club hypocritically to someone else.""|||END|||"	error_correction
