source_zh	target_en
除非很快采取变化，否则作为这一模式的基础的外汇机制和资本管制将会变得过于根深蒂固，调整的机会窗口也会错失。	Unless change comes soon, the foreign-exchange regime and capital controls on which the model relies will become too deeply entrenched, and the window of opportunity for adjustment will be missed.
特朗普则没有表现出任何策略思维迹象；事实上，他的政策冲动有可能给叙利亚挖下一个更深的深坑，美国、英国和俄罗斯都会深陷其中。	Trump has shown no evidence of it; in fact, his policy impulsiveness risks digging an even deeper hole for Syria, into which the US, Britain, and Russia will be sucked.
在2003年7月1日，香港回归六周年的纪念日当天，有近百万人走上香港街头举行反对一项反颠覆立法的和平抗议。 该项立法本可能会侵蚀新闻、宗教和集会的自由。	On July 1, 2003, the sixth anniversary of the handover, nearly a million people took to Hong Kong’s streets in a peaceful protest against an anti-subversion bill that would have eroded freedom of the press, of religion, and of association.
在应对二战后最严重的经济危机之时，中央银行再次被用来将某几个欠债者所发行的证券货币化，而其他欠债者则被晾在了一边。	In the aftermath of the worst financial crisis since WWII, central banks are once again being called on to monetize securities issued by some debtors, but not others.
问题是，因为大多数拉丁美洲国家的外交部都非常清楚这些姿态完全是政治性的，而不是其他，所以造成了更多的痛苦和失望。	The issue is all the more painful and disappointing since most Latin American foreign ministries know full well that these attitudes are pure politics, nothing more.
无奈欧洲的政治机构不愿采用上述任何一个选项，而是选择去敷衍拖延希腊的破产状况 — — 并假装已经通过新一批的贷款解决了这一问题。	Alas, Europe’s political establishment, unwilling to adopt either option, has chosen to extend Greece’s insolvency – which it pretends has been resolved through new loan tranches.
政治伊斯兰教形式多种多样，其中就包括1928年成立的穆斯林兄弟会（Muslin Brotherhood ） 。	The phenomenon took many forms, including the Muslim Brotherhood, founded in 1928.
俄国是否成功地将其经济全面实现现代化将会决定其未来。 其当今的经济很大程度上建立在出口石油、天然气以及其他自然资源的基础之上。	Russia’s future will be determined by whether it is successful in comprehensively modernizing its economy, which today is largely based on exports of oil, gas, and other natural resources.
但是，如果中东局势恶化，构成联合国五大常任理事国的集体责任感，那么，如今中俄两国的差别在明天也就不再重要。	But the differences between Russia and China today may prove to be less significant tomorrow if the deterioration in the Middle East imposes a sense of collective responsibility on all five permanent members of the UN Security Council.
下一任总统能否在不挑起军事干预和圣战的情况下宣传民主价值观，并同时在建立和维护相互依赖世界所需机构的过程中成功地成为非霸权主义主导？	Can the next president promote democratic values without military intervention and crusades, and at the same time take a non-hegemonic lead in establishing and maintaining the institutions needed for a world of interdependence?
共和党的尼克松1968年当选美国总统，靠的是缩减民主党的扩张性大社会（Great Society）计划。	The Republican Richard Nixon was elected US President in 1968 on a platform of scaling down the Democrats’ expensive Great Society programs.
从资产泡沫和杠杆过剩到汇率压制和生产力下降，日本的经验 — — 所谓“失去的十年”现在已经拉长到了二十五年 — — 展现了一个大型富裕的经济体可能会犯下的所有错误。	From asset bubbles and excess leverage to currency suppression and productivity impairment, Japan’s experience – with lost decades now stretching to a quarter-century – is testament to all that can go wrong in large and wealthy economies.
一些人认为政策可以调整从而避免带来有意义的伤害，这通常是因为政策所产生的经济条件方面的改善将消除进一步刺激的需要。	Some believe that policy can be calibrated to stop short of inflicting meaningful harm, usually because the resulting improvement in economic conditions will obviate the need for continued stimulus.
中国正在受到停止在世界货币市场内支撑美元的干涉政策的压力，其反对者强调这样的政策正在给其他国家造成多大的伤害。	China is being pressured to halt its interventions to prop up the US dollar in world currency markets, with opponents emphasizing how much harm the policy is causing to other countries.
金砖国家的崛起说到底是世界经济的幸事，但皮克的兴起带来了实实在在的威胁 — — 特别是当他们开始将对抗式方针用于外交事务和全球经济治理中时。	Unlike the emergence of the BRICS, which ultimately was a boon to the world economy, the rise of the PEKOs poses a real threat – especially as they begin to apply their confrontational approach to foreign affairs and global economic governance.
实际上，黎巴嫩和加沙的危机让人意识到，如果希望回到和平进程中，关押在以色列的阿拉伯囚犯以及以色列的单边主义这两大痛苦的问题必须得到解决。	Indeed, the crises in Lebanon and Gaza have brought about a realization that two festering issues – Arab prisoners in Israel, and Israeli unilateralism – must be resolved if there is to be any hope of a return to the peace process.
没有吸取20世纪30年代最有力的教训之一（是的，就是凯恩斯主义 ） — —财政政策是摆脱流动性陷阱的唯一办法 — — 也许是最大的悲剧。	Failing to heed one of the most powerful (yes, Keynesian) lessons of the 1930s – that fiscal policy is the only way out of a liquidity trap – could be the greatest tragedy of all.
如此严重的收入失衡不仅与人们普遍信奉的社会公平和机会均等准则无法匹配；更对美国的经济和民主制度造成了严重威胁。	Such a high level of inequality is not only incompatible with widely held norms of social justice and equality of opportunity; it poses a serious threat to America’s economy and democracy.
美国国务卿克里最近称气候变化“也许是世界上最可怕的大规模杀伤性武器 ” ， 并警告存在“无法回头的引爆点 ” 。	US Secretary of State John Kerry recently described climate change as “perhaps the world’s most fearsome weapon of mass destruction,” warning of “a tipping-point of no return.”
一项最新研究计算，如果巴西到2030年实现零采伐，能够让其经济的GDP增加0.6 % ， 或150亿美元。	One recent study calculated that if Brazil reached zero deforestation by 2030, it would add 0.6% of GDP, or about $15 billion, to its economy.
菲律宾武装部队需要得到更好的装备以消灭所有残余的恐怖主义避难所¾¾而且让他们永远消失。 但这一切都仅是一个无效的使命。	The Filipino armed forces must be better equipped to close down any remaining terrorist sanctuaries – and keep them closed.
因此，以宽容的名义：圣诞快乐，不管你是犹太人、穆斯林、印度教徒、锡克教徒、无神论者、不可知论者、消费主义者还是基督徒。	So, in the spirit of tolerance: Happy Christmas, whether you are Jewish, Muslim, Hindu, Sikh, atheist, agnostic, consumerist, or Christian.
两国政府正在考虑的诸多非市场的“贸易措施”或许会让双边贸易失衡下降，但同时也会使它们与世界其它国家的失衡加大。 这种拆东墙补西墙的解决方法将令两国及世界其它国家的消费者甚至企业蒙受损失。	The non-market “trade remedies” being considered by the US and China might produce a smaller trade imbalance between the two economies, but at the cost of a larger imbalance with the rest of the world.
另外，除了政治的考量之外，一些以美元为主要储备货币的国家也会因为担心美元的动荡引起自身的损失，目前考虑到另一种���代的储备货币。	And, apart from possible political considerations, large holders of dollars would find a substitution account attractive as a form of protection against strong fluctuations in the dollar’s value.
艾滋病的传染将戛然而止，正如大都市地区麻疹在儿童中的传染情况在80%的儿童获得免疫时就会结束，即使另外20%儿童没有接种。	The ongoing epidemic would grind to a halt, just as a measles epidemic among children in a metropolitan area ends when 80% percent of the children are vaccinated, even if the other 20% percent of children remain unvaccinated.
也许是衰落的标志，我们现在也有了黑色星期五，这是美国的舶来品，我们被鼓动本着现代圣诞精神大肆欢饮 ， “ 买买买”直到手软。	And just in case there was any sign of flagging, we now have Black Friday, an export from the United States, when we are all encouraged to drink deep of the modern Christmas spirit and shop until we drop.
明年，当跨政府气候变化委员会（Intergovernmental Panel on Climate Change）开始发布其最新的科学证据评估报告时，气候变化失控的迹象必定会在文明社会掀起波澜。	And next year, when the Intergovernmental Panel on Climate Change begins publishing its latest assessment of the scientific evidence, the prospect of runaway climate change is bound to mobilize civil society.
在发达国家，资产价值的下跌以及随之而来的普遍的恐惧心理沉重地打击了消费者和企业的信心，这导致消费持续下降以及公司削减投资。	In the advanced countries, the fall in asset values and, more generally, fear of what comes next has shattered consumer and business confidence. Consumption is dropping, and companies are cutting investment.
这虽然能在一段时期内刺激增长，但当泡沫破灭，金融体系的巨额债务立马将经济拖入通缩和停滞的漩涡，而且日本到现在还没有完全脱身。	That may have spurred growth for a while, but when the bubbles burst, the financial system’s huge debts helped push the economy into a bout of deflation and stagnation from which it has still not fully emerged.
对于全球化和计算机技术革命的担忧最终都可以归结到一点，因为全球化在很大程度上是新信息技术发展的结果。	Worries about globalization and the computer revolution ultimately boil down to the same thing, because globalization is mostly a consequence of new information technology.
欧盟委员会划拨200万欧元创立了白俄罗斯唯一的一家独立电台，这家电台被迫设在国外，以躲避卢卡申科的迫害。	The European Commission has allocated two million euros to establish an independent radio station for Belarus, which must operate outside of the country because of Lukashenka.
在这里，人们可以在足球和当今全球化的市场进程之间有相似的地方。 由于全球化的市场，各国经济类似的重组十分必要。	Here, soccer parallels today’s globalized markets, which make similar restructuring of national economies necessary.
俄罗斯追求的是一种务实方案，以保护其在叙利亚的商业利益和其在塔尔图斯港的军事基地，同时还能结束流血。	Russia sought a pragmatic approach that would protect its commercial interests in Syria and its naval base at the port of Tartus, while bringing an end to the bloodletting.
事实上，就在曼德拉走过罗本岛监狱大门，宣告非洲自由斗争胜利20年后的今天，科特迪瓦和津巴布韦等国的“强人”却继续罔顾人民的意愿，紧抱着权力不放。	Indeed, more than two decades after Mandela walked through the prison gates, supposedly completing Africa’s struggle for freedom, “Big Men” in countries like Congo and Zimbabwe continue to cling to power against the will of their people.
萨默斯和德隆还计算出设备投资的社会回报远大于私人回报，并因此得出了“一个强有力的论据似乎存在以证明经济政策不会惩罚 — — 而实际上是回报 — — 那些设备投资者 ” 。	Summers and DeLong also calculate that the social returns from equipment investment are far larger than private returns.
但中国领导人从未划定过“九条虚线”的确切位置，也没有明确过他们的要求是仅仅针对某些地貌，还是更为宽泛的海洋和大陆架。	But China’s leaders have never been clear about the exact location of the “nine-dotted line,” or about whether their claims refer only to certain land features, or also to more extensive continental shelves and seas.
其中一些预测者要比另外一些更为悲观（相比之下英国预算责任办公室算是尤其乐观的 ） ， 但似乎没有人能悲观到足够接近真相的程度。	Some forecasters are more pessimistic than others (the OBR has a particularly sunny disposition), but no one, it seems, has been pessimistic enough.
在贸易方面，克林顿的态度发生了大幅转变，她现在反对奥巴马政府与其他11个环太平洋国家谈成的跨太平洋合作伙伴关系协议。	On trade, Clinton has flip-flopped to oppose the Trans-Pacific Partnership, a multinational trade deal negotiated by the Obama administration and 11 other Pacific Rim countries.
在夏威夷会议上，奥巴马和其他与会的亚洲领导人 — — 特别是中国领导人 — — 必须在这两个选项中做出选择。	In Hawaii, Obama and the other assembled Asian leaders – particularly the Chinese – must begin to choose between these two Asian futures.
从1960到2010年这五十年里，全球劳动人口的平均在校时间从2.8年增长至8.3年，基本达到原来的三倍。	In the 50 years from 1960 to 2010, the global labor force’s average time in school essentially tripled, from 2.8 years to 8.3 years.
我们预测工资将承受下行压力，并通过抑制国内需求导致更低的就业和更高的不平等性（所有国家组别都是如此 ） 。	We projected downward wage pressure, which, by depressing domestic demand, would lead to lower employment and higher inequality in all country groupings.
与此同时，大规模的腐败彻底破坏了埃及的经济，近两年来的经济增长减少将近一半以上，随之而来的还有失业率上升、通货膨胀增大和货币贬值。	Meanwhile, massive corruption is devastating Egypt’s economy, with growth falling by half in the last two years, accompanied by rising unemployment, higher inflation, and currency depreciation.
阿根廷采取了极富创新精神的措施，用老债务换新债务 — — 大概是三折多一点的折算比例 — — 加上GDP指数债券。	In a highly innovative move, Argentina exchanged old debt for new debt – at about 30 cents on the dollar or a little more – plus a GDP-indexed bond.
许多欧盟领导人在与中国的“战略性合作”方式中看到了这种尊种，而这一新合作方式将有助于抑制超级大国美国的权利。	Many EU leaders see newfound respect coming in the form of a “strategic partnership” with China that is designed to balance the power of the United States.
自2月以来，十年期美国国债利率上升了近一个百分点至2.72 % ， 这意味着债券价格下跌了近10 % 。	The interest rate on ten-year Treasury bonds has risen almost a full percentage point since February, to 2.72%, implying a loss of nearly 10% in the price of the bond.
正如布莱德·德龙（Brad DeLong）和史蒂芬·科恩（Stephen S. Cohen）所指出的那样，美国现在应该采取行动，恢复其讲求实效的工业政策传统，让金融重新为实体经济服务，并投资于可以振兴中产阶级的新经济活动之上。	As Brad DeLong and Stephen S. Cohen have outlined, the US should act now to revive its pragmatic industrial-policy tradition, put finance back to work for the real economy, and invest in new activities that can reinvigorate a struggling middle class.
在希腊问题上，这些经济学家认为，财政政策转向“紧缩 ” — —即缩小公共部门 — — 导致了需求急剧萎缩，从而发生萧条。	Looking at Greece, these economists argue that a shift in fiscal policy to “austerity” – a smaller public sector – has brought an acute deficiency of demand and thus a depression.
相反，近年来这些赞助人的位置正逐渐被一批背景可疑的新富人所取代，这些人往往从事的是高利贷或者其他不正当行业。	Instead, these respectable supporters have gradually been replaced over the years by a shady new class of rich Japanese, who have risen through loan-sharking and other dubious businesses.
当前的僵持始于6月中旬，当时，印度的紧密盟友不丹发现解放军正在扩建一条通过洞朗的公路。 洞朗是喜马拉雅山区的一片高原，属于不丹领土，但中国对其有领土主张。	The current standoff began in mid-June, when Bhutan, a close ally of India, discovered the People’s Liberation Army trying to extend a road through Doklam, a high-altitude plateau in the Himalayas that belongs to Bhutan, but is claimed by China.
1 000名专家参与了世界经济论坛风险报告的基础 — — 全球风险前景调查，他们认为适应气候变化是未来十年的首要环境问题。	The 1,000 experts who responded to the WEF’s annual Global Risks Perception Survey, on which the report is based, ranked climate-change adaptation as their top environmental concern in the coming decade.
我们可以调整自己，适应这一反现实（irreality）和马克龙安排的新代表，表现出超然的平静和置身事外，以示他们是在利维坦睡着的时候选举出来的。	We can accommodate ourselves to this irreality and Macron’s newly installed representatives, so preternaturally smooth and remote as to suggest that they might have been elected while Leviathan was sleeping.
但是，中国政府对政府确定经济增长率这样的目标的重新关注，是全球经济危机加强了那些支持社会主义制度的中国官员和知识分子的地位的又一证据。	The government’s renewed focus on such a target is thus another indication that the global economic crisis has strengthened those Chinese officials and intellectuals who advocate a socialist system.
他相信，他在做正确的事，等待叙利亚冲突自己水落石出，同时将美国人民生民安全威胁最小化，这才是审慎的战略。	He believes that he is doing the right thing and following the prudent course in waiting for the Syrian conflict to burn itself out in some way while minimizing the long-term risk to American lives.
世界银行的新教育战略 — — “有教无类 — — 为促进发展投资人类知识和技能 ” （ Learning for All – Investing in People’s Knowledge and Skills to Promote Development ） — —便以此为目标。	The World Bank’s new education strategy, “Learning for All – Investing in People’s Knowledge and Skills to Promote Development,” highlights this imperative.
1981年的个人电脑与IBM先前的商业模式迥然而异。 根据以往的模式，IBM并不出售电脑，而是租赁电脑。	The 1981 PC was a break with IBM’s previous business model, according to which it did not sell computers, but leased them.
那年12月，风向开始转变，美国宣布它将退出反弹道导弹条约，目的是为了建设反导弹防御系统保护自己免受潜在核力量伊朗的威胁。	The winds began to change that December, when the US announced that it was withdrawing from the Antiballistic Missile Treaty, in order to build an antimissile defense system to protect itself from a potentially nuclearized Iran.
对许多人来说，解决问题之道就是通过公共渠道（援助基金、欧元债券或欧洲央行）由欧元区坚挺核心国向疲软南欧国提供更多更便宜的信用。	There are many who would solve the problem by routing more and more cheap credit through public channels – bailout funds, eurobonds, or the ECB – from the eurozone’s healthy core to the troubled South.
这就是为什么必须以税收替补的形式实施能源税，而所得税和工资税同时降低来让实际转移给政府的资源保持相同的水平。	That is why the energy tax must be imposed as a tax substitution, with income or payroll taxes simultaneously reduced to keep real resource transfers to government at a constant level.
现代化的力量所带来的技术和社会深度变革制造了紧张关系，而如果缺乏恰当的规范和制度上的回应，它们最终将无法解决。	The deep technological and social changes unleashed by the forces of modernity create tensions that, in the end, cannot be resolved without appropriate normative and institutional responses.
对微观经济学教学大纲的重新拟定将发出一个更鼓舞人心 — — 也更准确 — — 的信息：即使是由专家开发的复杂思想也是能被受过教育的外行人理解和应用的。	Restructuring the microeconomics syllabus would send a far more inspiring – and accurate – message: even complex ideas developed by experts can be understood and applied by educated laypeople.
你不需要阅读托马斯·皮凯蒂（Thomas Piketty）就能知道，不平等性的加剧正在撕裂发达经济体的社会结构。	One does not have to quote Thomas Piketty to know that rising inequalities now threaten to tear apart the social fabric of the advanced economies.
你也许会感到难以置信，自20世纪90年代初以来，全要素生产率（TFP ） — —衡量经济对人力和实物资本使用效率的指标 — — 平均增长率为负值。	Incredible as it may seem, average growth in total factor productivity (TFP) – a measure of the efficiency with which the economy’s resources, human and physical, are used – has been negative since the early 1990s.
中国是如此渴望为非洲这个人口最多的国家提供空间技术，以致它以合同总价3亿美元击败了其他21个竞标者。	China was so eager to provide space technology to Africa’s most populous country that it beat out 21 other bidders for a contract worth $300 million.
特朗普支持者也将他的胜利称为革命，尽管其中的暴力 — — 至少从选战本身角度讲 — — 仅限于指名道姓的攻讦和羞辱。	Trump supporters call his triumph a revolution, too, though the violence – at least by the campaign itself – was limited to name-calling and insults.
此外，不管是在双边基础上还是通过北约或欧盟，法国对军事主权的坚持必须与德国过度的军事克制协调���来。	Furthermore, whether on a bilateral basis, through NATO, or through the EU, France’s insistence on military sovereignty must be reconciled with Germany’s culture of excessive military restraint.
一份建议采取以上措施的备忘录被提交给麦克纳马拉、副国务卿尼古拉斯·卡兹恩巴赫和助理国务卿威廉•邦迪。	A memo recommending these steps was circulated to McNamara, Under Secretary of State Nicholas Katzenbach, and Assistant Secretary of State William Bundy.
因此，契约必须转而规定“剩余控制权及剩余收益权”的配置 — — 谁可以在怎样的环境下做决定及谁可以获得相应的收益。	So contracts must, instead, spell out the allocation of “control” rights – who can make decisions in which circumstances.
在1997-1998年爆发的国际金融危机之后，许多新兴市场发现它们通过使货币贬值或生产力的快速增长或者两者并用就可以保持很强的竞争力。	In the aftermath of the international financial crisis of 1997-1998, many emerging markets found themselves – through currency depreciation, rapid productivity gains, or both – highly competitive.
他们将热门咖啡馆或当地的步行小径等人文元素也混合进去，在为他人创造全面实用工具的同时，对自己社区的理解也有所加深。	By including human elements, such as popular cafés or local walking trails, they create comprehensive, useful tools for others, and enhance their understanding of their own community.
美国是在19世纪进入后三分之一阶段随着全球化刚刚开始崛起的世界大国，这与美国西部开放的时间恰好是一致的。	America was just beginning to emerge as a world power during the surge of globalization in the last third of the nineteenth century, which coincided with the opening up of the American West.
如何能既鼓励那些革命性的主宰整个市场的创新，又能限制对市场支配力的滥用，这个问题在数字时代之前早就已经存在了。	The question of how to encourage transformational, market-dominating innovations while limiting the abuse of market power long precedes the digital age.
这不足为奇，全世界有超过5.7亿农民和七十亿消费者，但从田间到店头，全球工业农业的价值链控制在一小撮公司手中。	This is not surprising. Although there are more than 570 million farmers and seven billion consumers worldwide, just a handful of companies control the global industrial-agriculture value chain – from field to shop counter.
联合国儿童基金会巴基斯坦消灭脊髓灰质炎计划主管艾丹·奥利里（Aidan O’Leary）指出 ， “ 女接种员推动了每一项任务的进展 。 ”	As Aidan O’Leary, UNICEF’s chief of anti-polio efforts in Pakistan, has noted, “female vaccinators are driving every single operational gain that is being made.”
在去年12月的一次会议中，我询问SEC主席夏皮罗（Mary Schapiro ） ， 她的手下准备何时重新实施该规则。	At a conference last December, I asked SEC Chairwoman Mary Schapiro when her agency was planning to reintroduce the rule.
事实上，与其说是燃油税本身还不如说是其背后所代表的因素引发了这次黄背心抗议运动：那就是政府对生活在法国规模最大的城市中心以外的中产阶级的困境漠不关心。	In reality, the eruption of the Yellow Vest protests was less about the fuel tax than what its introduction represented: the government’s indifference to the plight of the middle class outside France’s largest urban centers.
2016年的潘多拉魔盒所释放出来的魔鬼 — — 回荡在关于特朗普支持者对美国有色人种的法西斯主义辱骂的广为流传的报道中 — — 将在美国的自我认知中自由游动，同时毒害其他所有人的认知。	And the demons released from Pandora’s box in 2016 – echoing in widespread reports of racist taunts by Trump supporters of non-whites in America – will continue to roam free in the country’s self-perception, and taint everyone else’s perception, too.
这意味着要在美国这类民族和种族多元化社会维持强大的社会福利国家的挑战并不现实，但可以促进相互尊重和包容。	However, this means that the challenge of maintaining a strong social welfare state in ethnically and racially diverse societies such as the US is not economic, but one of promoting respect and inclusiveness.
