prompt	completion	data_type	source_zh	target_en	original_analysis
"Translate the following Chinese to English:
因此，当意识形态与其势不两立的共和党反对派在其入主白宫的第一天就采取焦土政策，把这一愿景当着他的面踩得粉碎的时候，其拒绝合作并非只关乎政策，而是影响到了奥巴马的为人。"	"Initial translation: So, when an ideologically implacable Republican opposition, in his very first days in office, threw the vision back in his face, adopting a policy of scorched-earth opposition, the rejection was about more than policy – it affected his very being.

Analysis: the translation accurately captures the meaning

Corrected translation: So, when an ideologically implacable Republican opposition, in his very first days in office, threw the vision back in his face, adopting a policy of scorched-earth opposition, the rejection was about more than policy – it affected his very being."	clean_translation	因此，当意识形态与其势不两立的共和党反对派在其入主白宫的第一天就采取焦土政策，把这一愿景当着他的面踩得粉碎的时候，其拒绝合作并非只关乎政策，而是影响到了奥巴马的为人。	So, when an ideologically implacable Republican opposition, in his very first days in office, threw the vision back in his face, adopting a policy of scorched-earth opposition, the rejection was about more than policy – it affected his very being.	"The model translation is ""So, when an ideologically implacable Republican opposition, in his very first days in office, threw the vision back in his face, adopting a policy of scorched-earth opposition, the rejection was about more than policy – it affected his very being.""
By double checking, I see the translation is correct.
The correct translation is ""So, when an ideologically implacable Republican opposition, in his very first days in office, threw the vision back in his face, adopting a policy of scorched-earth opposition, the rejection was about more than policy – it affected his very being.""|||END|||"
"Translate the following Chinese to English:
但我们也许应该回想一下Raskolnikov的一位对话者在提到他混迹其间的“令人厌恶的索多玛”时所讲的话。 他说贫穷不是一种堕落，而苦难才是。"	"Initial translation: But we might do well to recall what one of Raskalnikov’s interlocutors says about the “loathsome vermin” he encounters in his wanderings. Poverty, he says, is not a vice, but suffering is.

Analysis: The character name is misspelled as ""Raskalnikov"" instead of ""Raskolnikov

Corrected translation: But perhaps we should hear again the words of one of Raskolnikov’s interlocutors when he speaks about the “disgusting Sodome” in which he wanders and says that poverty is not a vice, but misery."	error_correction	但我们也许应该回想一下Raskolnikov的一位对话者在提到他混迹其间的“令人厌恶的索多玛”时所讲的话。 他说贫穷不是一种堕落，而苦难才是。	But perhaps we should hear again the words of one of Raskolnikov’s interlocutors when he speaks about the “disgusting Sodome” in which he wanders and says that poverty is not a vice, but misery.	"The model translation is ""But we might do well to recall what one of Raskalnikov's interlocutors says about the 'loathsome vermin' he encounters in his wanderings. Poverty, he says, is not a vice, but suffering is.""
The character name is misspelled as ""Raskalnikov"" instead of ""Raskolnikov."" More significantly, the phrase ""loathsome vermin"" completely changes the meaning - the original refers to ""disgusting Sodome"" (a place), not vermin (creatures). This misidentification changes the entire context from a location reference to a description of people, which is a serious error.
The correct translation should be ""But perhaps we should hear again the words of one of Raskolnikov's interlocutors when he speaks about the 'disgusting Sodome' in which he wanders and says that poverty is not a vice, but misery.""|||END|||"
"Translate the following Chinese to English:
迄今为止，以欧洲央行的“直接货币交易”项目为代表的“绝招”已经起到了预期效果 — — 根本不需要被使用。"	"Initial translation: So far, the ECB’s “whatever it takes” program, represented by its “outright monetary transactions” scheme, has done its job – without having to be used.

Analysis: The model substitutes ""whatever it takes"" for ""bazooka,"" which changes the metaphor entirely. The original uses ""bazooka"" as a financial term meaning a powerful weapon held in reserve, while ""whatever it takes"" refers to a different famous Mario Draghi quote but is not the metaphor being discussed here. The phrase ""has done its job"" is also less precise than ""had the desired effect,"" which specifically refers to the intended market-calming impact. The model also calls OMT a ""scheme"" when the original uses ""program,"" and ""scheme"" can have negative connotations in English

Corrected translation: So far, the “bazooka” represented by the ECB’s “outright monetary transactions” program has had the desired effect – without having to be used."	error_correction	迄今为止，以欧洲央行的“直接货币交易”项目为代表的“绝招”已经起到了预期效果 — — 根本不需要被使用。	So far, the “bazooka” represented by the ECB’s “outright monetary transactions” program has had the desired effect – without having to be used.	"The model translation is ""So far, the ECB's 'whatever it takes' program, represented by its 'outright monetary transactions' scheme, has done its job – without having to be used.""
The model substitutes ""whatever it takes"" for ""bazooka,"" which changes the metaphor entirely. The original uses ""bazooka"" as a financial term meaning a powerful weapon held in reserve, while ""whatever it takes"" refers to a different famous Mario Draghi quote but is not the metaphor being discussed here. The phrase ""has done its job"" is also less precise than ""had the desired effect,"" which specifically refers to the intended market-calming impact. The model also calls OMT a ""scheme"" when the original uses ""program,"" and ""scheme"" can have negative connotations in English.
The correct translation should be ""So far, the 'bazooka' represented by the ECB's 'outright monetary transactions' program has had the desired effect – without having to be used.""|||END|||"
"Translate the following Chinese to English:
他的宗派主义独裁行为导致了埃及的极化，以至于以同情伊斯兰教著称的军队首脑西西（Abdul Fattah al-Sisi）将军也不再支持任命了他的穆尔西。"	"Initial translation: His sectarian, authoritarian behavior polarized his country to such a degree that even the army’s chief, General Abdul Fattah al-Sisi, known for his Islamist sympathies, withdrew his support from the man who had appointed him.

Analysis: the translation accurately captures the meaning

Corrected translation: His sectarian, authoritarian behavior polarized his country to such a degree that even the army’s chief, General Abdul Fattah al-Sisi, known for his Islamist sympathies, withdrew his support from the man who had appointed him."	clean_translation	他的宗派主义独裁行为导致了埃及的极化，以至于以同情伊斯兰教著称的军队首脑西西（Abdul Fattah al-Sisi）将军也不再支持任命了他的穆尔西。	His sectarian, authoritarian behavior polarized his country to such a degree that even the army’s chief, General Abdul Fattah al-Sisi, known for his Islamist sympathies, withdrew his support from the man who had appointed him.	"The model translation is ""His sectarian, authoritarian behavior polarized his country to such a degree that even the army’s chief, General Abdul Fattah al-Sisi, known for his Islamist sympathies, withdrew his support from the man who had appointed him.""
By double checking, I see the translation is correct.
The correct translation is ""His sectarian, authoritarian behavior polarized his country to such a degree that even the army’s chief, General Abdul Fattah al-Sisi, known for his Islamist sympathies, withdrew his support from the man who had appointed him.""|||END|||"
"Translate the following Chinese to English:
IMF的模拟测试结果表明，全球增长率下降1.5个百分点将通过其对贸易和金融流的影响，光是在2012年就将造成270亿美元的外部融资缺口。"	"Initial translation: Simulations by the International Monetary Fund suggest that a decline in global growth of 1.5 percentage points could, owing to its impact on trade and financial flows, generate a $27 billion gap in additional external financing in 2012 alone.

Analysis: the translation accurately captures the meaning

Corrected translation: Simulations by the International Monetary Fund suggest that a decline in global growth of 1.5 percentage points could, owing to its impact on trade and financial flows, generate a $27 billion gap in additional external financing in 2012 alone."	clean_translation	IMF的模拟测试结果表明，全球增长率下降1.5个百分点将通过其对贸易和金融流的影响，光是在2012年就将造成270亿美元的外部融资缺口。	Simulations by the International Monetary Fund suggest that a decline in global growth of 1.5 percentage points could, owing to its impact on trade and financial flows, generate a $27 billion gap in additional external financing in 2012 alone.	"The model translation is ""Simulations by the International Monetary Fund suggest that a decline in global growth of 1.5 percentage points could, owing to its impact on trade and financial flows, generate a $27 billion gap in additional external financing in 2012 alone.""
By double checking, I see the translation is correct.
The correct translation is ""Simulations by the International Monetary Fund suggest that a decline in global growth of 1.5 percentage points could, owing to its impact on trade and financial flows, generate a $27 billion gap in additional external financing in 2012 alone.""|||END|||"
"Translate the following Chinese to English:
在2008年发表的一篇接受苏格兰长老会杂志《生活与工作》的采访中，她支持那些忍受难以忍受痛苦的人结束自己生命的权利。"	"Initial translation: In an interview with the Scottish elderly-care journal Life and Work in 2010, she supported the right of the terminally ill to end their own lives if they find it unbearably painful.

Analysis: The model changes the publication from ""the Church of Scotland's magazine"" to ""Scottish elderly-care journal,"" which misrepresents the nature of the publication. It changes the year from 2008 to 2010, and adds ""the terminally ill"" when the original refers to ""those suffering intolerably,"" which is broader than just terminal illness. The model also adds ""if they find it unbearably painful,"" which narrows the scope of suffering to just pain

Corrected translation: In an interview published in 2008 in the Church of Scotland’s magazine Life and Work, she supported the right of those suffering intolerably to end their lives."	error_correction	在2008年发表的一篇接受苏格兰长老会杂志《生活与工作》的采访中，她支持那些忍受难以忍受痛苦的人结束自己生命的权利。	In an interview published in 2008 in the Church of Scotland’s magazine Life and Work, she supported the right of those suffering intolerably to end their lives.	"The model translation is ""In an interview with the Scottish elderly-care journal Life and Work in 2010, she supported the right of the terminally ill to end their own lives if they find it unbearably painful.""
The model changes the publication from ""the Church of Scotland's magazine"" to ""Scottish elderly-care journal,"" which misrepresents the nature of the publication. It changes the year from 2008 to 2010, and adds ""the terminally ill"" when the original refers to ""those suffering intolerably,"" which is broader than just terminal illness. The model also adds ""if they find it unbearably painful,"" which narrows the scope of suffering to just pain.
The correct translation should be ""In an interview published in 2008 in the Church of Scotland's magazine Life and Work, she supported the right of those suffering intolerably to end their lives.""|||END|||"
"Translate the following Chinese to English:
货币政策 — — 特别是最近几年被央行采用的开足马力印钞的“量化宽松”计划 — — 也已经没有了空间，物价通胀正在抬头，央行资产负债表规模也达到了创纪录的水平。"	"Initial translation: Monetary policy – in particular, the vast money-printing “quantitative easing” programs pursued by central banks in recent years – has run out of space, too, with price inflation ticking up and central-bank balance sheets a record size.

Analysis: the translation accurately captures the meaning

Corrected translation: Monetary policy – in particular, the vast money-printing “quantitative easing” programs pursued by central banks in recent years – has run out of space, too, with price inflation ticking up and central-bank balance sheets a record size."	clean_translation	货币政策 — — 特别是最近几年被央行采用的开足马力印钞的“量化宽松”计划 — — 也已经没有了空间，物价通胀正在抬头，央行资产负债表规模也达到了创纪录的水平。	Monetary policy – in particular, the vast money-printing “quantitative easing” programs pursued by central banks in recent years – has run out of space, too, with price inflation ticking up and central-bank balance sheets a record size.	"The model translation is ""Monetary policy – in particular, the vast money-printing “quantitative easing” programs pursued by central banks in recent years – has run out of space, too, with price inflation ticking up and central-bank balance sheets a record size.""
By double checking, I see the translation is correct.
The correct translation is ""Monetary policy – in particular, the vast money-printing “quantitative easing” programs pursued by central banks in recent years – has run out of space, too, with price inflation ticking up and central-bank balance sheets a record size.""|||END|||"
"Translate the following Chinese to English:
但有一种因素可能将所有因素联系在一起：巴切莱特有权而且可能在 2013 － 2014 年再次竞选总统。"	"Initial translation: One factor, however, may hold everything together: Bachelet can and may run again for president in 2013-2014.

Analysis: the translation accurately captures the meaning

Corrected translation: One factor, however, may hold everything together: Bachelet can and may run again for president in 2013-2014."	clean_translation	但有一种因素可能将所有因素联系在一起：巴切莱特有权而且可能在 2013 － 2014 年再次竞选总统。	One factor, however, may hold everything together: Bachelet can and may run again for president in 2013-2014.	"The model translation is ""One factor, however, may hold everything together: Bachelet can and may run again for president in 2013-2014.""
By double checking, I see the translation is correct.
The correct translation is ""One factor, however, may hold everything together: Bachelet can and may run again for president in 2013-2014.""|||END|||"
"Translate the following Chinese to English:
他们也不愿意听到自己要开始接受导游再培训，为成群结队不可避免的中国中产阶级旅游者提供服务，因为包括成衣业在内的高端轻工业制造重心已经转移到了中国。"	"Initial translation: They do not want to hear that they will have to start being trained as tour guides, serving the inevitable hordes of Chinese middle-class travelers, because the high-end light manufacturing that includes apparel has shifted its focus to China.

Analysis: The phrase ""don't want to be told that they should start retraining"" becomes ""do not want to hear that they will have to start being trained,"" which changes from suggestion to compulsion. The model adds ""that includes apparel"" which is not necessary since tailoring was already mentioned. The phrase ""as that country takes over high-end light manufacturing like tailoring"" is changed to ""because the high-end light manufacturing that includes apparel has shifted its focus to China,"" which makes it less direct about China's role

Corrected translation: These craftsmen don’t want to be told that they should start retraining as tour guides to service the inevitable horde of middle-income Chinese tourists, as that country takes over high-end light manufacturing like tailoring."	error_correction	他们也不愿意听到自己要开始接受导游再培训，为成群结队不可避免的中国中产阶级旅游者提供服务，因为包括成衣业在内的高端轻工业制造重心已经转移到了中国。	These craftsmen don’t want to be told that they should start retraining as tour guides to service the inevitable horde of middle-income Chinese tourists, as that country takes over high-end light manufacturing like tailoring.	"The model translation is ""They do not want to hear that they will have to start being trained as tour guides, serving the inevitable hordes of Chinese middle-class travelers, because the high-end light manufacturing that includes apparel has shifted its focus to China.""
The phrase ""don't want to be told that they should start retraining"" becomes ""do not want to hear that they will have to start being trained,"" which changes from suggestion to compulsion. The model adds ""that includes apparel"" which is not necessary since tailoring was already mentioned. The phrase ""as that country takes over high-end light manufacturing like tailoring"" is changed to ""because the high-end light manufacturing that includes apparel has shifted its focus to China,"" which makes it less direct about China's role.
The correct translation should be ""These craftsmen don't want to be told that they should start retraining as tour guides to service the inevitable horde of middle-income Chinese tourists, as that country takes over high-end light manufacturing like tailoring.""|||END|||"
"Translate the following Chinese to English:
已故历史学家菲利普·科廷（Philip Curtin）指出，从一千年前人类刚刚进入城市时期开始，典型的贸易活动就已经包括了商人与外族人混居的网络。"	"Initial translation: As the late historian Philip Curtin documented, from the beginning of urban life, millennia ago, trade typically involved networks of co-ethnic merchants living among aliens.

Analysis: the translation accurately captures the meaning

Corrected translation: As the late historian Philip Curtin documented, from the beginning of urban life, millennia ago, trade typically involved networks of co-ethnic merchants living among aliens."	clean_translation	已故历史学家菲利普·科廷（Philip Curtin）指出，从一千年前人类刚刚进入城市时期开始，典型的贸易活动就已经包括了商人与外族人混居的网络。	As the late historian Philip Curtin documented, from the beginning of urban life, millennia ago, trade typically involved networks of co-ethnic merchants living among aliens.	"The model translation is ""As the late historian Philip Curtin documented, from the beginning of urban life, millennia ago, trade typically involved networks of co-ethnic merchants living among aliens.""
By double checking, I see the translation is correct.
The correct translation is ""As the late historian Philip Curtin documented, from the beginning of urban life, millennia ago, trade typically involved networks of co-ethnic merchants living among aliens.""|||END|||"
"Translate the following Chinese to English:
必须坚决捍��公众言论及和平集会的权利，这既是为了那些自觉被主流社会边缘化的团体，也是为了那些对巴勒斯坦、车臣和伊拉克民众所遭受的不公正待遇而义愤填膺的全体民众和大多数欧洲公民。"	"Initial translation: The right to public speech and peaceful assembly must be defended for those who feel marginalized and indignant at what they – and most Europeans – view as injustices committed against the Palestinians, the Chechens, and the Iraqis.

Analysis: the translation accurately captures the meaning

Corrected translation: The right to public speech and peaceful assembly must be defended for those who feel marginalized and indignant at what they – and most Europeans – view as injustices committed against the Palestinians, the Chechens, and the Iraqis."	clean_translation	必须坚决捍��公众言论及和平集会的权利，这既是为了那些自觉被主流社会边缘化的团体，也是为了那些对巴勒斯坦、车臣和伊拉克民众所遭受的不公正待遇而义愤填膺的全体民众和大多数欧洲公民。	The right to public speech and peaceful assembly must be defended for those who feel marginalized and indignant at what they – and most Europeans – view as injustices committed against the Palestinians, the Chechens, and the Iraqis.	"The model translation is ""The right to public speech and peaceful assembly must be defended for those who feel marginalized and indignant at what they – and most Europeans – view as injustices committed against the Palestinians, the Chechens, and the Iraqis.""
By double checking, I see the translation is correct.
The correct translation is ""The right to public speech and peaceful assembly must be defended for those who feel marginalized and indignant at what they – and most Europeans – view as injustices committed against the Palestinians, the Chechens, and the Iraqis.""|||END|||"
